month,gender,lambda,mean,sigma,sd,minus_3sd,minus_2sd,minus_1sd,median,plus_1sd,plus_2sd,plus_3sd
0,P,0.3809,3.2322,0.14171,0.4580,2,2.4,2.8,3.2,3.7,4.2,4.8
1,P,0.1714,4.1873,0.13724,0.5747,2.7,3.2,3.6,4.2,4.8,5.5,6.2
2,P,0.0962,5.1282,0.13,0.6667,3.4,3.9,4.5,5.1,5.8,6.6,7.5
3,P,0.0402,5.8458,0.12619,0.7377,4,4.5,5.2,5.8,6.6,7.5,8.5
4,P,-0.005,6.4237,0.12402,0.7967,4.4,5,5.7,6.4,7.3,8.2,9.3
5,P,-0.043,6.8985,0.12274,0.8467,4.8,5.4,6.1,6.9,7.8,8.8,10
6,P,-0.0756,7.297,0.12204,0.8905,5.1,5.7,6.5,7.3,8.2,9.3,10.6
7,P,-0.1039,7.6422,0.12178,0.9307,5.3,6,6.8,7.6,8.6,9.8,11.1
8,P,-0.1288,7.9487,0.12181,0.9682,5.6,6.3,7,7.9,9,10.2,11.6
9,P,-0.1507,8.2254,0.12199,1.0034,5.8,6.5,7.3,8.2,9.3,10.5,12
10,P,-0.17,8.48,0.12223,1.0365,5.9,6.7,7.5,8.5,9.6,10.9,12.4
11,P,-0.1872,8.7192,0.12247,1.0678,6.1,6.9,7.7,8.7,9.9,11.2,12.8
12,P,-0.2024,8.9481,0.12268,1.0978,6.3,7,7.9,8.9,10.1,11.5,13.1
13,P,-0.2158,9.1699,0.12283,1.1263,6.4,7.2,8.1,9.2,10.4,11.8,13.5
14,P,-0.2278,9.387,0.12294,1.1540,6.6,7.4,8.3,9.4,10.6,12.1,13.8
15,P,-0.2384,9.6008,0.12299,1.1808,6.7,7.6,8.5,9.6,10.9,12.4,14.1
16,P,-0.2478,9.8124,0.12303,1.2072,6.9,7.7,8.7,9.8,11.1,12.6,14.5
17,P,-0.2562,10.0226,0.12306,1.2334,7,7.9,8.9,10,11.4,12.9,14.8
18,P,-0.2637,10.2315,0.12309,1.2594,7.2,8.1,9.1,10.2,11.6,13.2,15.1
19,P,-0.2703,10.4393,0.12315,1.2856,7.3,8.2,9.2,10.4,11.8,13.5,15.4
20,P,-0.2762,10.6464,0.12323,1.3120,7.5,8.4,9.4,10.6,12.1,13.7,15.7
21,P,-0.2815,10.8534,0.12335,1.3388,7.6,8.6,9.6,10.9,12.3,14,16
22,P,-0.2862,11.0608,0.1235,1.3660,7.8,8.7,9.8,11.1,12.5,14.3,16.4
23,P,-0.2903,11.2688,0.12369,1.3938,7.9,8.9,10,11.3,12.8,14.6,16.7
24,P,-0.2941,11.4775,0.1239,1.4221,8.1,9,10.2,11.5,13,14.8,17
25,P,-0.2975,11.6864,0.12414,1.4507,8.2,9.2,10.3,11.7,13.3,15.1,17.3
26,P,-0.3005,11.8947,0.12441,1.4798,8.4,9.4,10.5,11.9,13.5,15.4,17.7
27,P,-0.3032,12.1015,0.12472,1.5093,8.5,9.5,10.7,12.1,13.7,15.7,18
28,P,-0.3057,12.3059,0.12506,1.5390,8.6,9.7,10.9,12.3,14,16,18.3
29,P,-0.308,12.5073,0.12545,1.5690,8.8,9.8,11.1,12.5,14.2,16.2,18.7
30,P,-0.3101,12.7055,0.12587,1.5992,8.9,10,11.2,12.7,14.4,16.5,19
31,P,-0.312,12.9006,0.12633,1.6297,9,10.1,11.4,12.9,14.7,16.8,19.3
32,P,-0.3138,13.093,0.12683,1.6606,9.1,10.3,11.6,13.1,14.9,17.1,19.6
33,P,-0.3155,13.2837,0.12737,1.6919,9.3,10.4,11.7,13.3,15.1,17.3,20
34,P,-0.3171,13.4731,0.12794,1.7237,9.4,10.5,11.9,13.5,15.4,17.6,20.3
35,P,-0.3186,13.6618,0.12855,1.7562,9.5,10.7,12,13.7,15.6,17.9,20.6
36,P,-0.3201,13.8503,0.12919,1.7893,9.6,10.8,12.2,13.9,15.8,18.1,20.9
37,P,-0.3216,14.0385,0.12988,1.8233,9.7,10.9,12.4,14,16,18.4,21.3
38,P,-0.323,14.2265,0.13059,1.8578,9.8,11.1,12.5,14.2,16.3,18.7,21.6
39,P,-0.3243,14.414,0.13135,1.8933,9.9,11.2,12.7,14.4,16.5,19,22
40,P,-0.3257,14.601,0.13213,1.9292,10.1,11.3,12.8,14.6,16.7,19.2,22.3
41,P,-0.327,14.7873,0.13293,1.9657,10.2,11.5,13,14.8,16.9,19.5,22.7
42,P,-0.3283,14.9727,0.13376,2.0027,10.3,11.6,13.1,15,17.2,19.8,23
43,P,-0.3296,15.1573,0.1346,2.0402,10.4,11.7,13.3,15.2,17.4,20.1,23.4
44,P,-0.3309,15.341,0.13545,2.0779,10.5,11.8,13.4,15.3,17.6,20.4,23.7
45,P,-0.3322,15.524,0.1363,2.1159,10.6,12,13.6,15.5,17.8,20.7,24.1
46,P,-0.3335,15.7064,0.13716,2.1543,10.7,12.1,13.7,15.7,18.1,20.9,24.5
47,P,-0.3348,15.8882,0.138,2.1926,10.8,12.2,13.9,15.9,18.3,21.2,24.8
48,P,-0.3361,16.0697,0.13884,2.2311,10.9,12.3,14,16.1,18.5,21.5,25.2
49,P,-0.3374,16.2511,0.13968,2.2700,11,12.4,14.2,16.3,18.8,21.8,25.5
50,P,-0.3387,16.4322,0.14051,2.3089,11.1,12.6,14.3,16.4,19,22.1,25.9
51,P,-0.34,16.6133,0.14132,2.3478,11.2,12.7,14.5,16.6,19.2,22.4,26.3
52,P,-0.3414,16.7942,0.14213,2.3870,11.3,12.8,14.6,16.8,19.4,22.6,26.6
53,P,-0.3427,16.9748,0.14293,2.4262,11.4,12.9,14.8,17,19.7,22.9,27
54,P,-0.344,17.1551,0.14371,2.4654,11.5,13,14.9,17.2,19.9,23.2,27.4
55,P,-0.3453,17.3347,0.14448,2.5045,11.6,13.2,15.1,17.3,20.1,23.5,27.7
56,P,-0.3466,17.5136,0.14525,2.5439,11.7,13.3,15.2,17.5,20.3,23.8,28.1
57,P,-0.3479,17.6916,0.146,2.5830,11.8,13.4,15.3,17.7,20.6,24.1,28.5
58,P,-0.3492,17.8686,0.14675,2.6222,11.9,13.5,15.5,17.9,20.8,24.4,28.8
59,P,-0.3505,18.0445,0.14748,2.6612,12,13.6,15.6,18,21,24.6,29.2
60,P,-0.3518,18.2193,0.14821,2.7003,12.1,13.7,15.8,18.2,21.2,24.9,29.5
0,L,0.3487,3.3464,0.14602,0.4886,2.1,2.5,2.9,3.3,3.9,4.4,5
1,L,0.2297,4.4709,0.13395,0.5989,2.9,3.4,3.9,4.5,5.1,5.8,6.6
2,L,0.197,5.5675,0.12385,0.6895,3.8,4.3,4.9,5.6,6.3,7.1,8
3,L,0.1738,6.3762,0.11727,0.7477,4.4,5,5.7,6.4,7.2,8,9
4,L,0.1553,7.0023,0.11316,0.7924,4.9,5.6,6.2,7,7.8,8.7,9.7
5,L,0.1395,7.5105,0.1108,0.8322,5.3,6,6.7,7.5,8.4,9.3,10.4
6,L,0.1257,7.934,0.10958,0.8694,5.7,6.4,7.1,7.9,8.8,9.8,10.9
7,L,0.1134,8.297,0.10902,0.9045,5.9,6.7,7.4,8.3,9.2,10.3,11.4
8,L,0.1021,8.6151,0.10882,0.9375,6.2,6.9,7.7,8.6,9.6,10.7,11.9
9,L,0.0917,8.9014,0.10881,0.9686,6.4,7.1,8,8.9,9.9,11,12.3
10,L,0.082,9.1649,0.10891,0.9981,6.6,7.4,8.2,9.2,10.2,11.4,12.7
11,L,0.073,9.4122,0.10906,1.0265,6.8,7.6,8.4,9.4,10.5,11.7,13
12,L,0.0644,9.6479,0.10925,1.0540,6.9,7.7,8.6,9.6,10.8,12,13.3
13,L,0.0563,9.8749,0.10949,1.0812,7.1,7.9,8.8,9.9,11,12.3,13.7
14,L,0.0487,10.0953,0.10976,1.1081,7.2,8.1,9,10.1,11.3,12.6,14
15,L,0.0413,10.3108,0.11007,1.1349,7.4,8.3,9.2,10.3,11.5,12.8,14.3
16,L,0.0343,10.5228,0.11041,1.1618,7.5,8.4,9.4,10.5,11.7,13.1,14.6
17,L,0.0275,10.7319,0.11079,1.1890,7.7,8.6,9.6,10.7,12,13.4,14.9
18,L,0.0211,10.9385,0.11119,1.2163,7.8,8.8,9.8,10.9,12.2,13.7,15.3
19,L,0.0148,11.143,0.11164,1.2440,8,8.9,10,11.1,12.5,13.9,15.6
20,L,0.0087,11.3462,0.11211,1.2720,8.1,9.1,10.1,11.3,12.7,14.2,15.9
21,L,0.0029,11.5486,0.11261,1.3005,8.2,9.2,10.3,11.5,12.9,14.5,16.2
22,L,-0.0028,11.7504,0.11314,1.3294,8.4,9.4,10.5,11.8,13.2,14.7,16.5
23,L,-0.0083,11.9514,0.11369,1.3588,8.5,9.5,10.7,12,13.4,15,16.8
24,L,-0.0137,12.1515,0.11426,1.3884,8.6,9.7,10.8,12.2,13.6,15.3,17.1
25,L,-0.0189,12.3502,0.11485,1.4184,8.8,9.8,11,12.4,13.9,15.5,17.5
26,L,-0.024,12.5466,0.11544,1.4484,8.9,10,11.2,12.5,14.1,15.8,17.8
27,L,-0.0289,12.7401,0.11604,1.4784,9,10.1,11.3,12.7,14.3,16.1,18.1
28,L,-0.0337,12.9303,0.11664,1.5082,9.1,10.2,11.5,12.9,14.5,16.3,18.4
29,L,-0.0385,13.1169,0.11723,1.5377,9.2,10.4,11.7,13.1,14.8,16.6,18.7
30,L,-0.0431,13.3,0.11781,1.5669,9.4,10.5,11.8,13.3,15,16.9,19
31,L,-0.0476,13.4798,0.11839,1.5959,9.5,10.7,12,13.5,15.2,17.1,19.3
32,L,-0.052,13.6567,0.11896,1.6246,9.6,10.8,12.1,13.7,15.4,17.4,19.6
33,L,-0.0564,13.8309,0.11953,1.6532,9.7,10.9,12.3,13.8,15.6,17.6,19.9
34,L,-0.0606,14.0031,0.12008,1.6815,9.8,11,12.4,14,15.8,17.8,20.2
35,L,-0.0648,14.1736,0.12062,1.7096,9.9,11.2,12.6,14.2,16,18.1,20.4
36,L,-0.0689,14.3429,0.12116,1.7378,10,11.3,12.7,14.3,16.2,18.3,20.7
37,L,-0.0729,14.5113,0.12168,1.7657,10.1,11.4,12.9,14.5,16.4,18.6,21
38,L,-0.0769,14.6791,0.1222,1.7938,10.2,11.5,13,14.7,16.6,18.8,21.3
39,L,-0.0808,14.8466,0.12271,1.8218,10.3,11.6,13.1,14.8,16.8,19,21.6
40,L,-0.0846,15.014,0.12322,1.8500,10.4,11.8,13.3,15,17,19.3,21.9
41,L,-0.0883,15.1813,0.12373,1.8784,10.5,11.9,13.4,15.2,17.2,19.5,22.1
42,L,-0.092,15.3486,0.12425,1.9071,10.6,12,13.6,15.3,17.4,19.7,22.4
43,L,-0.0957,15.5158,0.12478,1.9361,10.7,12.1,13.7,15.5,17.6,20,22.7
44,L,-0.0993,15.6828,0.12531,1.9652,10.8,12.2,13.8,15.7,17.8,20.2,23
45,L,-0.1028,15.8497,0.12586,1.9948,10.9,12.4,14,15.8,18,20.5,23.3
46,L,-0.1063,16.0163,0.12643,2.0249,11,12.5,14.1,16,18.2,20.7,23.6
47,L,-0.1097,16.1827,0.127,2.0552,11.1,12.6,14.3,16.2,18.4,20.9,23.9
48,L,-0.1131,16.3489,0.12759,2.0860,11.2,12.7,14.4,16.3,18.6,21.2,24.2
49,L,-0.1165,16.515,0.12819,2.1171,11.3,12.8,14.5,16.5,18.8,21.4,24.5
50,L,-0.1198,16.6811,0.1288,2.1485,11.4,12.9,14.7,16.7,19,21.7,24.8
51,L,-0.123,16.8471,0.12943,2.1805,11.5,13.1,14.8,16.8,19.2,21.9,25.1
52,L,-0.1262,17.0132,0.13005,2.2126,11.6,13.2,15,17,19.4,22.2,25.4
53,L,-0.1294,17.1792,0.13069,2.2451,11.7,13.3,15.1,17.2,19.6,22.4,25.7
54,L,-0.1325,17.3452,0.13133,2.2779,11.8,13.4,15.2,17.3,19.8,22.7,26
55,L,-0.1356,17.5111,0.13197,2.3109,11.9,13.5,15.4,17.5,20,22.9,26.3
56,L,-0.1387,17.6768,0.13261,2.3441,12,13.6,15.5,17.7,20.2,23.2,26.6
57,L,-0.1417,17.8422,0.13325,2.3775,12.1,13.7,15.6,17.8,20.4,23.4,26.9
58,L,-0.1447,18.0073,0.13389,2.4110,12.2,13.8,15.8,18,20.6,23.7,27.2
59,L,-0.1477,18.1722,0.13453,2.4447,12.3,14,15.9,18.2,20.8,23.9,27.6
60,L,-0.1506,18.3366,0.13517,2.4786,12.4,14.1,16,18.3,21,24.2,27.9
